index,size,value
0,34,7746212
1,34,10064263
2,34,2728547
3,34,350000
4,34,218223158
5,34,4950000
6,34,246523
7,34,10047269
8,34,1050000
9,34,5788569
10,34,950000
11,34,1226165
12,34,5000000
13,34,568422
14,34,13540000
15,34,1220000
16,34,64862703
17,34,270736
18,34,4973949
19,34,2691867
20,34,6150000
21,34,3798755
22,34,5200664
23,34,495456
24,34,226571800
25,34,4267412
26,34,149287711
27,34,17771237
28,34,563783
29,34,1599950000
30,34,1871453
31,34,10550000
32,34,8000000
33,34,1336405
34,34,1112976
35,34,8837272
36,34,96439094
37,34,600000000
38,34,200289993
39,34,3362000
40,34,65069552
41,34,39950000
42,34,250000
43,34,504727
44,34,3723267
45,34,4026594
46,34,1000000
47,34,199950000
48,34,9950000
49,34,79994129
50,34,203850000
51,34,1029639
52,34,8355397
53,34,1193491
54,34,1609149
55,34,9117913
56,34,14950000
57,34,239000
58,34,3596875
59,34,5950000
60,34,31504225
61,34,799646
62,34,11660560
63,34,1000050000
64,34,7486833
65,34,4950027
66,34,150000
67,34,950000
68,34,659909
69,34,15531433
70,34,65629625
71,34,20950000
72,34,1650000
73,34,906864
74,34,750000
75,34,4269607
76,34,29920000
77,34,26750000
78,34,14936164
79,34,2452062
80,34,1480969
81,34,9950000
82,34,1950000
83,34,13430000
84,34,8890588
85,34,1000000
86,34,10000000
87,34,450000
88,34,26300000
89,34,3529675
90,34,46509984
91,34,6011113
92,34,16978217
93,34,7000000
94,34,3800000
95,34,40050000
96,34,4490000
97,34,5000000
98,34,70616026
99,34,2127411
100,34,6166031
