index,size,value
0,34,10000000
1,34,23981515
2,34,13750000
3,34,23170000
4,34,99950000
5,34,6665753
6,34,2500000
7,34,6523461
8,34,1101966
9,34,2208768
10,34,51929182
11,34,1123000
12,34,2050000
13,34,1578672
14,34,13164194
15,34,1222751
16,34,4950000
17,34,1185800
18,34,3750000
19,34,1669624
20,34,40000000
21,34,19693446
22,34,44950000
23,34,3421132
24,34,3092741
25,34,9808208
26,34,3050000
27,34,1173827
28,34,950000
29,34,137880571
30,34,3660000
31,34,5950000
32,34,5000000
33,34,8045319
34,34,20950000
35,34,1689952
36,34,29950000
37,34,1574137
38,34,19950000
39,34,4450000
40,34,10050000
41,34,24730000
42,34,741433
43,34,251672187
44,34,4950000
45,34,15335396
46,34,199950000
47,34,833126508
48,34,3509675
49,34,545564
50,34,4950000
51,34,13500000
52,34,9435730
53,34,2800090
54,34,53950000
55,34,503000
56,34,6000000
57,34,2552295
58,34,17447702
59,34,1238635
60,34,12080000
61,34,9025549
62,34,1000000000
63,34,1188852
64,34,5910660
65,34,1002000
66,34,449000
67,34,781124
68,34,199950000
69,34,2508282
70,34,1249565
71,34,199950000
72,34,4864692
73,34,35165804
74,34,1749169
75,34,100000000
76,34,850000
77,34,82450214
78,34,99950000
79,34,3530087
80,34,29950000
81,34,3679911
82,34,266401003
83,34,16654643
84,34,850000
85,34,4769261
86,34,22573838
87,34,2929826
88,34,8294612
89,34,8141000
90,34,15907961
91,34,24100562
92,34,11471867
93,34,9950000
94,34,6632000
95,34,2000000
96,34,3167463
97,34,42436084
98,34,1595827
99,34,616710
100,34,99950000
