index,size,value
0,34,10244915
1,34,6427098
2,34,20821868
3,34,53350000
4,34,1450000
5,34,199950000
6,34,2000000
7,34,7250377
8,34,3092600
9,34,765583
10,34,30919060
11,34,100000000
12,34,520300
13,34,950000
14,34,2591175
15,34,10909102
16,34,2622552
17,34,31817060
18,34,9076501
19,34,11385385
20,34,546778
21,34,3102086
22,34,11349915
23,34,950000
24,34,5720922
25,34,500000
26,34,500000
27,34,438430
28,34,21069000
29,34,12646660
30,34,526342
31,34,77000000
32,34,4751136
33,34,951412
34,34,2824233
35,34,554950000
36,34,1615000
37,34,900000
38,34,1983757
39,34,5950000
40,34,4950000
41,34,1497310
42,34,2578983
43,34,166056625
44,34,3709309
45,34,129950000
46,34,1250000
47,34,39498000
48,34,880000
49,34,14601410
50,34,207419
51,34,119127585
52,34,4952893
53,34,38667244
54,34,63522700
55,34,48540572
56,34,2171085
57,34,3039620
58,34,595000
59,34,950000
60,34,231659
61,34,29533700
62,34,199950000
63,34,20950000
64,34,450000
65,34,93790000
66,34,184715
67,34,9950000
68,34,19950000
69,34,7489492
70,34,500000
71,34,7593498
72,34,641387600
73,34,550000
74,34,1523961
75,34,254768
76,34,150000
77,34,8850000
78,34,1444020
79,34,3150550
80,34,1372220
81,34,634315
82,34,19073726
83,34,4248612
84,34,301906
85,34,2520690
86,34,914838
87,34,1058884
88,34,390000
89,34,59950000
90,34,792698
91,34,140540000
92,34,20000000
93,34,150000
94,34,1000000
95,34,1237500
96,34,71168546
97,34,10323995
98,34,1825200
99,34,14000000
