index,size,value
0,34,38113484
1,34,14950000
2,34,1117633
3,34,3000000
4,34,3486053
5,34,5787897
6,34,1194297
7,34,16216217
8,34,111926426
9,34,99950000
10,34,516882
11,34,9950000
12,34,5000000
13,34,1850000
14,34,3000000
15,34,10950000
16,34,1004010973
17,34,1184775
18,34,666464
19,34,9424924
20,34,159414
21,34,3654240
22,34,387980778
23,34,50727353
24,34,310000000
25,34,2912208
26,34,21499167
27,34,150000
28,34,1500000
29,34,12662575
30,34,446950000
31,34,31269342
32,34,180342802
33,34,744683
34,34,240000
35,34,250000
36,34,100000000
37,34,1138000
38,34,12044584
39,34,3450000
40,34,14712724
