index,size,value
0,34,3150000
1,34,2915000
2,34,5550000
3,34,157353356
4,34,6293142
5,34,7188134
6,34,1266600
7,34,3255578
8,34,5147638
9,34,8908742
10,34,125689176
11,34,9392611
12,34,8126812
13,34,10950000
14,34,1732715
15,34,99950000
16,34,1785355
17,34,22993183
18,34,10207266
19,34,1198588
20,34,199950000
21,34,954672
22,34,599050
23,34,2678266
24,34,7915815
25,34,1000001
26,34,270000
27,34,1327065
28,34,23615994
29,34,14950000
30,34,218400
31,34,4328338
32,34,850000
33,34,1500000
34,34,501300
35,34,602082
36,34,29819797
37,34,5336696
38,34,16106837
39,34,2670075
40,34,11870367
41,34,2250000
42,34,20950000
43,34,1587662
44,34,7070845
45,34,4544277
46,34,10237909
47,34,1409779
48,34,1511316
49,34,4594487
50,34,9950000
51,34,782579
52,34,31500131
53,34,761899
54,34,250000
55,34,857052
56,34,450000
57,34,613749
58,34,5189002
59,34,2163225
60,34,63113362
61,34,95853998
62,34,15714774
63,34,30895647
64,34,2587804
65,34,7500000
66,34,1923560
67,34,9950000
68,34,516680
69,34,9097643
70,34,37200000
71,34,155060396
72,34,7150803
73,34,7296988
74,34,3481066
75,34,19950000
76,34,400347200
77,34,2350000
78,34,1950000
79,34,305513
80,34,44623817
81,34,25010471
82,34,2485209
83,34,6981925
84,34,12550000
85,34,73950000
86,34,179950000
87,34,169950000
88,34,12730655
89,34,10000000
90,34,2067460
91,34,239378918
92,34,577651
93,34,9149128
94,34,999950000
95,34,519167
96,34,4902398
97,34,16847038
98,34,2807939
99,34,20050000
100,34,78825076
