index,size,value
0,34,19930016
1,34,19825000
2,34,387785322
3,34,25293940
4,34,49950376
5,34,1220704
6,34,1050000
7,34,89650000
8,34,4161537
9,34,31340000
10,34,10000000
11,34,14950000
12,34,3141562
13,34,4322240
14,34,1412574
15,34,1000000
16,34,24553612
17,34,796837481
18,34,8061530
19,34,14767254
20,34,24550333
21,34,13150000
22,34,2676391
23,34,8842402
24,34,310000
25,34,41059891
26,34,9940084
27,34,1470451
28,34,1111914
29,34,173334077
30,34,2115275
31,34,5000000
32,34,35995427
33,34,99950000
34,34,199950000
35,34,2000000
36,34,400000
37,34,1112635
38,34,1530171
39,34,10950000
40,34,2475518
41,34,5563948
42,34,464052
43,34,5176200
44,34,1976729
45,34,8567295
46,34,33325647
47,34,700000
48,34,700000
49,34,4012782
50,34,49950000
51,34,1323850
52,34,2190013
53,34,39950000
54,34,99950000
55,34,5819401
56,34,528077
57,34,54950000
58,34,4700000
59,34,3951120
60,34,49950000
61,34,25196131
62,34,590888
63,34,5096653
64,34,199950000
65,34,1844770
66,34,12642625
67,34,4991687
68,34,127710000
69,34,2666600
70,34,21507563
71,34,1150000
72,34,2000001
73,34,10850000
74,34,799950000
75,34,829151
76,34,923725
77,34,1455765
78,34,7545403
79,34,1325805
80,34,1000000
81,34,3204021
82,34,610000
83,34,6498452
84,34,896815
85,34,182592
86,34,11959068
87,34,499950000
88,34,5337940
89,34,4950000
90,34,863800
91,34,4500000
92,34,4991581
93,34,11525688
94,34,1206392
95,34,6707875
96,34,1007340
97,34,10071379
98,34,3226347
99,34,213396527
100,34,1901244
