index,size,value
0,34,8763047
1,34,10179921
2,34,1301434
3,34,26000000
4,34,2448324
5,34,2950000
6,34,755651
7,34,2337336
8,34,19950000
9,34,3155606
10,34,14000000
11,34,900000000
12,34,163600
13,34,375082
14,34,1410000
15,34,200000
16,34,2000000
17,34,217410
18,34,4254568
19,34,67650762
20,34,1030000
21,34,22056300
22,34,72527645
23,34,26825624
24,34,3526163
25,34,18164776
26,34,7213324
27,34,1491419
28,34,1492513
29,34,175714809
30,34,100000000
31,34,150000
32,34,744643
33,34,299886570
34,34,1187719
35,34,4585360
36,34,1273691
37,34,2199057
38,34,1901311
39,34,18000000
40,34,4107503
41,34,19950000
42,34,3749707
43,34,271950000
44,34,4710447
45,34,16778755
46,34,171383
47,34,17391251
48,34,28510469
49,34,2918705
50,34,3593400
51,34,2453903
52,34,10950000
53,34,37860000
54,34,137574160
55,34,2419006
56,34,30000000
57,34,392992215
58,34,8279864
